arrive1 | time: 136.953400
arrive2 | time: 137.160629
depart1 | time: 137.507568
arrive1 | time: 137.907578
depart1 | time: 138.544098
depart1 | time: 138.644028
depart1 | time: 138.729462
arrive1 | time: 139.236816
depart1 | time: 139.679840
arrive2 | time: 139.990234
arrive1 | time: 141.572037
depart1 | time: 141.981445
arrive1 | time: 144.843750
arrive1 | time: 145.586075
depart1 | time: 146.027954
arrive1 | time: 146.081604
arrive1 | time: 146.542892
arrive2 | time: 146.743164
arrive1 | time: 146.810181
arrive1 | time: 147.911835
depart1 | time: 148.107071
arrive1 | time: 148.188660
arrive1 | time: 148.231796
arrive1 | time: 148.445892
depart1 | time: 149.391068
depart1 | time: 149.549408
arrive2 | time: 150.471237
arrive1 | time: 151.814728
arrive1 | time: 151.935516
depart1 | time: 152.704147
arrive2 | time: 152.716690
arrive1 | time: 152.873718
depart1 | time: 153.292755
arrive1 | time: 153.357132
arrive1 | time: 153.389648
arrive2 | time: 153.530930
arrive1 | time: 154.156494
arrive1 | time: 154.817978
arrive1 | time: 155.248093
arrive1 | time: 155.250687
depart1 | time: 155.619156
arrive2 | time: 155.667297
arrive1 | time: 155.684647
depart1 | time: 155.783005
depart1 | time: 155.876175
depart1 | time: 156.052917
depart1 | time: 156.572556
arrive1 | time: 156.575516
arrive2 | time: 156.925873
depart1 | time: 157.471420
depart1 | time: 157.692825
arrive1 | time: 157.848465
depart1 | time: 158.369171
depart1 | time: 159.574280
arrive2 | time: 160.142609
arrive1 | time: 160.212021
arrive1 | time: 161.998383
arrive1 | time: 162.486465
arrive1 | time: 162.811920
depart1 | time: 163.878281
arrive1 | time: 164.225357
depart1 | time: 164.661194
depart1 | time: 165.123062
depart1 | time: 165.673111
arrive1 | time: 166.030792
depart1 | time: 166.110458
depart1 | time: 166.153473
arrive2 | time: 166.987457
depart1 | time: 167.324051
arrive1 | time: 167.531830
arrive2 | time: 167.746140
arrive1 | time: 167.768784
arrive1 | time: 169.214645
arrive1 | time: 169.329346
arrive1 | time: 169.903778
depart1 | time: 170.012451
depart1 | time: 170.356644
depart1 | time: 170.771454
depart1 | time: 170.995590
arrive1 | time: 171.272949
arrive1 | time: 171.580673
arrive1 | time: 171.663254
arrive2 | time: 172.087814
depart1 | time: 172.340805
arrive1 | time: 172.424713
depart1 | time: 172.436295
arrive1 | time: 172.500458
depart1 | time: 172.867737
arrive2 | time: 173.404465
depart1 | time: 176.468842
depart1 | time: 176.586472
depart1 | time: 176.648743
arrive1 | time: 176.778030
arrive2 | time: 177.296661
depart1 | time: 177.824020
arrive1 | time: 177.896454
depart1 | time: 177.981781
arrive1 | time: 178.335312
arrive1 | time: 178.750916
depart1 | time: 178.809158
arrive1 | time: 178.884201
depart1 | time: 178.931671
arrive1 | time: 179.057419
arrive2 | time: 180.058838
arrive1 | time: 180.903976
depart1 | time: 181.467941
depart1 | time: 182.128769
depart1 | time: 182.156815
depart1 | time: 182.216690
depart1 | time: 182.462189
depart1 | time: 183.139267
depart1 | time: 183.172577
depart1 | time: 183.173996
arrive2 | time: 183.220657
arrive1 | time: 184.718643
depart1 | time: 185.480148
arrive1 | time: 185.608307
arrive1 | time: 185.756729
depart1 | time: 185.789505
depart1 | time: 186.283356
arrive1 | time: 186.382141
depart1 | time: 186.430145
arrive2 | time: 186.757675
arrive1 | time: 187.980804
arrive1 | time: 188.162323
arrive1 | time: 188.291946
arrive1 | time: 189.289307
arrive1 | time: 189.560776
depart1 | time: 189.803879
depart1 | time: 190.060196
depart1 | time: 190.086182
depart1 | time: 190.315338
arrive1 | time: 190.621292
arrive2 | time: 191.107635
depart1 | time: 191.120834
arrive1 | time: 191.894043
arrive1 | time: 192.492203
arrive1 | time: 192.730743
arrive1 | time: 192.733887
arrive2 | time: 192.977844
arrive1 | time: 193.159332
depart1 | time: 193.608658
depart1 | time: 193.795532
depart1 | time: 193.994064
depart1 | time: 194.449188
